adsorbent,temperature(k),pressure,total_adsorption,pore diameter (A),micro pore volume (ml/g),BET surface area (m2/g),Cation,Si/Al ratio
0.8035714285714285,0.34210526315789513,0.00020736127734930822,0.00020736127734930822,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.00024311223903102883,0.00024311223903102883,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.00024311223903102883,0.00024311223903102883,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.00031461441237672126,0.00031461441237672126,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.0003861175856514188,0.0003861175856514188,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.0006006223558127373,0.0006006223558127373,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.0011011368192858308,0.0011011368192858308,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.0016374037443341524,0.0016374037443341524,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.0023881754395437926,0.0023881754395437926,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.003996966215398707,0.003996966215398707,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.005677271913694128,0.005677271913694128,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.007393325073919752,0.007393325073919752,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.009216620619935986,0.009216620619935986,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.01111143608803775,0.01111143608803775,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.01300622655791439,0.01300622655791439,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.014936789487946356,0.014936789487946356,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
0.8035714285714285,0.34210526315789513,0.016867352417978324,0.016867352417978324,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
