
filename,"10.1007s104500169821x.Isotherm35"
7,"0.063898","1","1.94966",""
8,"0.031949","1","2.10069",""
9,"0.063898","1","2.26545",""
10,"0.063898","1","2.37529",""
11,"0.063898","1","2.4714",""
12,"0.063898","1","2.54005",""
13,"0.095847","1","2.64989",""
14,"0.063898","1","2.73226",""
15,"0.063898","1","2.80092",""
16,"0.127796","1","3.2952",""
17,"0.28754","1","3.65217",""
18,"0.319489","1","3.73455",""
19,"0.415335","1","3.84439",""
20,"0.511182","1","3.91304",""
21,"0.638978","1","4.00915",""
22,"0.734824","1","4.0778",""
23,"0.830671","1","4.13272",""
24,"0.926518","1","4.20137",""
25,"1.91693","1","4.46224",""
26,"2.9393","1","4.627",""
27,"3.89776","1","4.70938",""
28,"4.92013","1","4.81922",""
29,"5.84664","1","4.87414",""
30,"6.96486","1","4.92906",""
31,"7.95527","1","4.95652",""
32,"8.84984","1","4.99771",""
33,"9.8722","1","5.0389",""
34,"11.7891","1","5.08009",""
35,"13.8339","1","5.13501",""
36,"15.8466","1","5.16247",""
37,"17.7636","1","5.1762",""
38,"19.8083","1","5.21739",""
